Main group,Taxon group,scientificName,Common name,Conservation action needed,Avoid negative impacts,Watching brief only,Link to Species Records on NBN Gateway,Threatened species,Legally protected species,S1 - on UKBAP list,S2International.Obligation,S3 - Rare in the UK (<16 10km sqs),S4 - <6 Scottish 10km sqs,S5 - >25% Scottish Decline,S6a - Endemic to Scotland,S6b - endemic sub-species/ race,Taxon Version Key,UKBAP Code
Terrestrial invertebrates,insect - moth,Zygaena viciae subsp. argyllensis,New Forest Burnet,Yes,-,-,NBN map,-,-,-,-,Yes,Yes,-,-,Yes,NBNSYS0000005191,641
Terrestrial invertebrates,insect - orthopteran,Leptophyes punctatissima,Speckled Bush-cricket,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000006825,
Terrestrial invertebrates,insect - orthopteran,Metrioptera brachyptera,Bog Bush-cricket,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000006821,
Terrestrial invertebrates,insect - spider (Araneae),Agroeca cuprea,Golden Lantern-spider,Yes,-,-,NBN map,-,-,Yes,-,-,Yes,-,-,-,NBNSYS0000008703,2014
Terrestrial invertebrates,insect - spider (Araneae),Centromerus levitarsis,a money spider,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000009170,
Terrestrial invertebrates,insect - spider (Araneae),Clubiona subsultans,a spider,Yes,Yes,-,NBN map,VU,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000008676,
Terrestrial invertebrates,insect - spider (Araneae),Dictyna major,a mesh-webbed spider,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000008615,
Terrestrial invertebrates,insect - spider (Araneae),Dictyna pusilla,Small Mesh-weaver,Yes,-,-,NBN map,-,-,Yes,-,Yes,-,-,-,-,NBNSYS0000008614,2223
Terrestrial invertebrates,insect - spider (Araneae),Dipoena torva,a spider,Yes,Yes,-,NBN map,VU,-,-,-,Yes,-,-,-,-,NBNSYS0000008872,
Terrestrial invertebrates,insect - spider (Araneae),Erigone welchi,Welch's Money-spider,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000009109,2252
Terrestrial invertebrates,insect - spider (Araneae),Haplodrassus soerenseni,a spider,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000008648,
Terrestrial invertebrates,insect - spider (Araneae),Lepthyphantes antroniensis,a money spider,Yes,Yes,-,NBN map,EN,-,-,-,Yes,Yes,-,-,-,NBNSYS0000009225,
Terrestrial invertebrates,insect - spider (Araneae),Mecopisthes peusi,Peus's Long-back Spider,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000009046,2407
Terrestrial invertebrates,insect - spider (Araneae),Mecynargus paetulus,a money spider,Yes,Yes,-,NBN map,VU,-,-,-,Yes,-,-,-,-,NBNSYS0100003883,
Terrestrial invertebrates,insect - spider (Araneae),Monocephalus castaneipes,Broad Groove-head Spider,-,-,Yes,NBN map,-,-,Yes,-,-,-,-,-,-,NBNSYS0000009070,2436
Terrestrial invertebrates,insect - spider (Araneae),Notioscopus sarcinatus,Swamp Lookout Spider,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,Yes,-,-,NBNSYS0000009080,2457
Terrestrial invertebrates,insect - spider (Araneae),Philodromus margaritatus,Lichen Running-spider,Yes,-,-,NBN map,-,-,Yes,-,Yes,-,-,-,-,NBNSYS0000008751,2499
Terrestrial invertebrates,insect - spider (Araneae),Robertus scoticus,a spider,Yes,Yes,-,NBN map,EN,-,-,-,-,Yes,-,-,-,NBNSYS0000008911,
Terrestrial invertebrates,insect - spider (Araneae),Saaristoa firma,Triangle Hammock-spider,-,-,Yes,NBN map,-,-,Yes,-,Yes,-,-,-,-,NBNSYS0000009188,2574
Terrestrial invertebrates,insect - spider (Araneae),Semljicola caliginosus,Cloud-living Spider,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0100005488,2599
Terrestrial invertebrates,insect - spider (Araneae),Silometopus incurvatus,Bend-bearing Blunt-brow Spider,Yes,-,-,NBN map,-,-,Yes,-,Yes,-,Yes,-,-,NBNSYS0000009045,2602
Terrestrial invertebrates,insect - stonefly (Plecoptera),Brachyptera putata,Northern February Red,-,-,Yes,NBN map,-,-,Yes,-,Yes,-,-,-,-,NBNSYS0000022413,160
Terrestrial invertebrates,Insect - trichopteran,Hagenella clathrata,Window Winged Sedge,Yes,Yes,-,NBN map,EN,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000008428,2306
Terrestrial invertebrates,insect - true bug (Hemiptera),Aquarius najas,River Skater,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0000527503,
Terrestrial invertebrates,insect - true bug (Hemiptera),Gerris (Gerris) gibbifer,Pond Skater,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020309254,
Terrestrial invertebrates,insect - true bug (Hemiptera),Hebrus (Hebrusella) ruficeps,Sphagnum Bug,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020309294,
Terrestrial invertebrates,insect - true bug (Hemiptera),Plea minutissima,a pygmy backswimmer,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0000527574,
Terrestrial invertebrates,insect - true fly (Diptera),Anasimyia transfuga,a Hoverfly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007043,
Terrestrial invertebrates,insect - true fly (Diptera),Beris morrisii,a Soldier Fly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007799,
Terrestrial invertebrates,insect - true fly (Diptera),Blera fallax,Pine Hoverfly,Yes,Yes,-,NBN map,EN,-,Yes,-,-,Yes,-,-,-,NBNSYS0000007099,147
Terrestrial invertebrates,insect - true fly (Diptera),Bolitophila bimaculata,a fungus gnat,-,-,Yes,NBN map,NT,-,-,-,Yes,Yes,-,-,-,NBNSYS0000011608,
Terrestrial invertebrates,insect - true fly (Diptera),Botanophila fonsecai,Fonseca's Seed Fly,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,Yes,-,NBNSYS0000030467,2091
Terrestrial invertebrates,insect - true fly (Diptera),Brachyopa insensilis,a Hoverfly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007013,
Terrestrial invertebrates,insect - true fly (Diptera),Chamaesyrphus caledonicus,a Hoverfly,Yes,Yes,-,NBN map,EN,-,-,-,-,Yes,-,Yes,-,NBNSYS0000007071,
Terrestrial invertebrates,insect - true fly (Diptera),Cheilosia chrysocoma,a Hoverfly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000006978,
Terrestrial invertebrates,insect - true fly (Diptera),Cheilosia latifrons,Hoverfly,-,-,Yes,NBN map,-,-,-,-,-,-,-,-,-,NBNSYS0100002330,
Terrestrial invertebrates,insect - true fly (Diptera),Cheilosia sahlbergi,a Hoverfly,Yes,Yes,-,NBN map,VU,-,-,-,Yes,-,-,-,-,NBNSYS0000006997,
Terrestrial invertebrates,insect - true fly (Diptera),Cliorismia rustica,Southern Silver Stiletto-fly,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000189329,225
Terrestrial invertebrates,insect - true fly (Diptera),Clusiodes geomyzinus,Strathspey Clusiid Fly,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,Yes,-,-,NBNSYS0100002492,2180
Terrestrial invertebrates,insect - true fly (Diptera),Diadocidia valida,a fungus gnat,-,-,Yes,NBN map,NT,-,-,-,Yes,Yes,-,-,-,NBNSYS0000011620,
Terrestrial invertebrates,insect - true fly (Diptera),Dicranomyia omissinervis,a cranefly,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0100002823,
Terrestrial invertebrates,insect - true fly (Diptera),Dictenidia bimaculata,a cranefly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0100002842,
Terrestrial invertebrates,insect - true fly (Diptera),Doros profuges,Phantom Hoverfly,Yes,Yes,-,NBN map,VU,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000146310,270
Terrestrial invertebrates,insect - true fly (Diptera),Dysmachus trigonus,a Robber Fly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007896,
Terrestrial invertebrates,insect - true fly (Diptera),Hammerschmidtia ferruginea,Aspen Hoverfly,Yes,Yes,-,NBN map,EN,-,Yes,-,-,-,-,-,-,NBNSYS0000007021,349
Terrestrial invertebrates,insect - true fly (Diptera),Heringia pubescens,Hoverfly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0100003450,
Terrestrial invertebrates,insect - true fly (Diptera),Hilara medeteriformis,a dance fly,-,-,Yes,NBN map,NT,-,-,-,Yes,Yes,-,-,-,NBNSYS0000012492,
Terrestrial invertebrates,insect - true fly (Diptera),Laphria flava,a Robber Fly,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000007908,
Terrestrial invertebrates,insect - true fly (Diptera),Leptarthrus brevirostris,a Robber Fly,Yes,-,-,NBN map,-,-,-,-,-,Yes,Yes,-,-,NBNSYS0000007920,
Terrestrial invertebrates,insect - true fly (Diptera),Lipsothrix ecucullata,Scottish Yellow Splinter,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000008199,416
Terrestrial invertebrates,insect - true fly (Diptera),Lipsothrix errans,Northern Yellow Splinter,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000008200,417
Terrestrial invertebrates,insect - true fly (Diptera),Lipsothrix nervosa,Southern Yellow Splinter,-,-,Yes,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000008201,418
Terrestrial invertebrates,insect - true fly (Diptera),Lonchaea ragnari,Viking Sword Fly,Yes,-,-,NBN map,-,-,Yes,-,Yes,-,-,-,-,NBNSYS0100003806,2390
Terrestrial invertebrates,insect - true fly (Diptera),Medetera excellens,a dolichopodid fly,-,-,Yes,NBN map,NT,-,-,-,Yes,Yes,-,-,-,NBNSYS0000012671,
Terrestrial invertebrates,insect - true fly (Diptera),Melangyna barbifrons,a Hoverfly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000006923,
Terrestrial invertebrates,insect - true fly (Diptera),Melangyna ericarum,a Hoverfly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000006925,
Terrestrial invertebrates,insect - true fly (Diptera),Mycomya rosalba,a fungus gnat,-,-,Yes,NBN map,DD,-,-,-,Yes,Yes,-,-,-,NBNSYS0000011701,
Terrestrial invertebrates,insect - true fly (Diptera),Nephrotoma aculeata,a cranefly,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000007970,
Terrestrial invertebrates,insect - true fly (Diptera),Nephrotoma analis,a cranefly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007971,
Terrestrial invertebrates,insect - true fly (Diptera),Nephrotoma cornicina,a cranefly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007973,
Terrestrial invertebrates,insect - true fly (Diptera),Nephrotoma guestfalica,a cranefly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007978,
Terrestrial invertebrates,insect - true fly (Diptera),Nephrotoma lunulicornis,a cranefly,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000007979,
Terrestrial invertebrates,insect - true fly (Diptera),Nephrotoma scurra,a cranefly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007982,
Terrestrial invertebrates,insect - true fly (Diptera),Nigrotipula nigra,a cranefly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0100004261,
Terrestrial invertebrates,insect - true fly (Diptera),Oxycera pygmaea,a Soldier Fly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000007815,
Terrestrial invertebrates,insect - true fly (Diptera),Pamponerus germanicus,a Robber Fly,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000007905,
Terrestrial invertebrates,insect - true fly (Diptera),Parasyrphus nigritarsis,a Hoverfly,Yes,Yes,-,NBN map,EN,-,-,-,-,Yes,-,-,-,NBNSYS0000006946,
Terrestrial invertebrates,insect - true fly (Diptera),Phronia persimilis,a fungus gnat,-,-,Yes,NBN map,DD,-,-,-,Yes,Yes,-,-,-,NBNSYS0000012001,
Terrestrial invertebrates,insect - true fly (Diptera),Phronia sylvatica,a fungus gnat,-,-,Yes,NBN map,DD,-,-,-,Yes,Yes,-,-,-,NBNSYS0100004586,
Terrestrial invertebrates,insect - true fly (Diptera),Platycheirus amplus,a Hoverfly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000006870,
Terrestrial invertebrates,insect - true fly (Diptera),Prionocera pubescens,a cranefly,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000007960,
Terrestrial invertebrates,insect - true fly (Diptera),Rhabdomastix japonica,River-shore Cranefly,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NHMSYS0020193668,2563
Terrestrial invertebrates,insect - true fly (Diptera),Rhabdomastix laeta,a cranefly,-,-,Yes,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000189452,
Terrestrial invertebrates,insect - true fly (Diptera),Rhadiurgus variabilis,Northern Robber Fly,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NBNSYS0000007907,
Terrestrial invertebrates,insect - true fly (Diptera),Rhamphomyia hirtula,Mountain Dance-fly,Yes,Yes,-,NBN map,NT,-,Yes,-,Yes,-,Yes,-,-,NBNSYS0000012380,2564
Terrestrial invertebrates,insect - true fly (Diptera),Rymosia speyae,a fungus gnat,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0100005352,
Terrestrial invertebrates,insect - true fly (Diptera),Sphaerophoria loewi,a Hoverfly,Yes,Yes,-,NBN map,VU,-,-,-,-,Yes,-,-,-,NBNSYS0000006955,
Terrestrial invertebrates,insect - true fly (Diptera),Sphegina sibirica,a Hoverfly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000033089,
Terrestrial invertebrates,insect - true fly (Diptera),Spiriverpa lunulata,Stiletto-fly,-,-,Yes,NBN map,-,-,Yes,-,Yes,-,-,-,-,NBNSYS0000189495,
Terrestrial invertebrates,insect - true fly (Diptera),Stratiomys chamaeleon,a soldier fly,Yes,Yes,-,NBN map,EN,-,-,-,Yes,Yes,-,-,-,NBNSYS0000007839,
Terrestrial invertebrates,insect - true fly (Diptera),Strongylophthalmyia ustulata,a tanypezid fly,Yes,Yes,-,NBN map,EN,-,-,-,Yes,Yes,-,-,-,NBNSYS0000028919,
Terrestrial invertebrates,insect - true fly (Diptera),Tanyptera atrata,a cranefly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0100005703,
Terrestrial invertebrates,insect - true fly (Diptera),Tanyptera nigricornis,a cranefly,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0100005704,
Terrestrial invertebrates,insect - true fly (Diptera),Themira gracilis,a small dung fly,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000012937,
Terrestrial invertebrates,insect - true fly (Diptera),Thereva handlirschi,a Stiletto fly,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NBNSYS0000007929,
Terrestrial invertebrates,insect - true fly (Diptera),Thereva valida,a Stiletto fly,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000007934,
Terrestrial invertebrates,insect - true fly (Diptera),Tipula bistilata,a cranefly,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NBNSYS0000008018,
Terrestrial invertebrates,insect - true fly (Diptera),Tipula cava,a cranefly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000008020,
Terrestrial invertebrates,insect - true fly (Diptera),Tipula hortorum,a cranefly,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000008014,
Terrestrial invertebrates,insect - true fly (Diptera),Tipula invenusta,a cranefly,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000008046,
Terrestrial invertebrates,insect - true fly (Diptera),Tipula laetabilis,a cranefly,Yes,Yes,-,NBN map,VU,-,-,-,-,Yes,-,-,-,NBNSYS0000008021,
Terrestrial invertebrates,insect - true fly (Diptera),Tipula limbata,a cranefly,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NBNSYS0000007993,
Terrestrial invertebrates,insect - true fly (Diptera),Tipula luridorostris,a cranefly,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0100005837,
Terrestrial invertebrates,insect - true fly (Diptera),Tipula marginella,a cranefly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0100005838,
Terrestrial invertebrates,insect - true fly (Diptera),Tipula melanoceros,a cranefly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000008031,
Terrestrial invertebrates,insect - true fly (Diptera),Tipula pabulina,a cranefly,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000008002,
Terrestrial invertebrates,insect - true fly (Diptera),Wiedemannia simplex,a dance fly,Yes,Yes,-,NBN map,EN,-,-,-,Yes,Yes,-,-,-,NBNSYS0100006085,
Terrestrial invertebrates,mollusc,Arion (Kobeltia) hortensis,Southern Garden Slug,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020528111,
Terrestrial invertebrates,mollusc,Azeca goodalli,Three-toothed Moss Snail,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020528119,
Terrestrial invertebrates,mollusc,Candidula gigaxii,a mollusc,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020528127,
Terrestrial invertebrates,mollusc,Cecilioides (Cecilioides) acicula,Blind (or Agate) Snail,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020528133,
Terrestrial invertebrates,mollusc,Cochlodina (Cochlodina) laminata,Plaited Door Snail,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001701975,
Terrestrial invertebrates,mollusc,Hydrobia ventrosa,Spire Snail,-,-,Yes,NBN map,-,-,Yes,-,-,-,-,-,-,NHMSYS0000343147,
Terrestrial invertebrates,mollusc,Monacha (Monacha) cantiana,Kentish Snail,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001702106,
Terrestrial invertebrates,mollusc,Omphiscola glabra,Mud Pond Snail,Yes,Yes,-,NBN map,VU,-,-,-,-,Yes,-,-,-,NHMSYS0020528236,2464
Terrestrial invertebrates,mollusc,Oxychilus (Oxychilus) navarricus subsp. helveticus,Glossy Glass Snail,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001702140,
Terrestrial invertebrates,mollusc,Pisidium conventus,Alpine Peaclam,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0000336865,
Terrestrial invertebrates,mollusc,Succinella oblonga,Small Amber Snail,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0020528289,
Terrestrial invertebrates,mollusc,Truncatellina cylindrica,Cylindrical Whorl Snail,Yes,Yes,-,NBN map,VU,-,-,-,Yes,Yes,-,-,-,NHMSYS0020528301,2675
Terrestrial invertebrates,mollusc,Vertigo (Vertigo) alpestris,Mountain Whorl Snail,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020528315,
Terrestrial invertebrates,mollusc,Vertigo (Vertigo) genesii,Round-mouthed Whorl Snail,Yes,Yes,-,NBN map,NT,ELD,Yes,Yes,Yes,Yes,-,-,-,NHMSYS0001702271,626
Terrestrial invertebrates,mollusc,Vertigo (Vertigo) geyeri,Geyer's Whorl Snail,Yes,Yes,-,NBN map,EN,ELD,Yes,Yes,-,-,-,-,-,NHMSYS0001702272,627
Terrestrial invertebrates,mollusc,Vertigo (Vertigo) modesta,Cross Whorl Snail,Yes,Yes,-,NBN map,EN,-,-,-,Yes,Yes,-,-,-,NHMSYS0001702274,628
Terrestrial invertebrates,mollusc,Vertigo (Vertilla) angustior,Narrow-mouthed Whorl Snail,Yes,Yes,-,NBN map,NT,ELD,Yes,Yes,Yes,Yes,-,-,-,NHMSYS0001702280,2691
Aquatic invertebrates,annelid,Hirudo medicinalis,Medicinal Leech,Yes,Yes,-,NBN map,NT,WCA 1981 3,Yes,Yes,-,Yes,Yes,-,-,NBNSYS0000022372,
Aquatic invertebrates,crustacean,Austropotamobius pallipes,Freshwater White-clawed Crayfish,Yes,Yes,-,NBN map,EN,WCA 1981 3,Yes,Yes,Yes,Yes,-,-,-,NBNSYS0000033009,124
Aquatic invertebrates,crustacean,Triops cancriformis,Tadpole Shrimp,Yes,Yes,-,NBN map,EN,WCA 1981,Yes,-,Yes,Yes,-,-,-,NBNSYS0000032970,617
Aquatic invertebrates,insect - beetle (Coleoptera),Agabus (Agabus) uliginosus,a water beetle,-,-,Yes,NBN map,NT,-,-,-,-,Yes,-,-,-,NHMSYS0001716535,
Aquatic invertebrates,insect - beetle (Coleoptera),Augyles maritimus,a water beetle,-,-,Yes,NBN map,NT,-,-,-,Yes,Yes,-,-,-,NHMSYS0001717097,
Aquatic invertebrates,insect - beetle (Coleoptera),Bagous (Abagous) lutulentus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0020151444,
Aquatic invertebrates,insect - beetle (Coleoptera),Bagous (Bagous) collignensis,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0020151451,
Aquatic invertebrates,insect - beetle (Coleoptera),Berosus (Berosus) luridus,a water beetle,-,-,Yes,NBN map,NT,-,-,-,-,Yes,-,-,-,NHMSYS0001717238,
Aquatic invertebrates,insect - beetle (Coleoptera),Bidessus minutissimus,Minutest Diving Beetle,Yes,Yes,-,NBN map,VU,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000007523,145
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) alpinus,a water beetle,-,-,Yes,NBN map,DD,-,-,-,Yes,-,-,-,-,NHMSYS0001717577,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) convexiusculus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717579,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) depressus,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001717580,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) melanocephalus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717620,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) nigriceps,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717621,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) quisquilius,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717624,
Aquatic invertebrates,insect - beetle (Coleoptera),Cercyon (Cercyon) terminatus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717626,
Aquatic invertebrates,insect - beetle (Coleoptera),Cryptopleurum minutum,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717763,
Aquatic invertebrates,insect - beetle (Coleoptera),Cyphon kongsbergensis,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000024175,
Aquatic invertebrates,insect - beetle (Coleoptera),Cyphon ochraceus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000024177,
Aquatic invertebrates,insect - beetle (Coleoptera),Cyphon pubescens,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001596571,
Aquatic invertebrates,insect - beetle (Coleoptera),Cyphon punctipennis,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,-,-,-,-,NHMSYS0001717811,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia aquatica,Zircon Reed Beetle,Yes,-,-,NBN map,-,-,Yes,-,-,Yes,-,-,-,NBNSYS0000011085,268
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia cinerea,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000011087,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia crassipes,Water-Lily Reed Beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020152031,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia impressa,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000011091,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia marginata,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000011092,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia obscura,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000011093,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia sparganii,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000011096,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia thalassina,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000011097,
Aquatic invertebrates,insect - beetle (Coleoptera),Donacia vulgaris,a Reed beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000011099,
Aquatic invertebrates,insect - beetle (Coleoptera),Dryops (Dryops) similaris,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001717988,
Aquatic invertebrates,insect - beetle (Coleoptera),Dryops (Yrdops) nitidulus,a water beetle,-,-,Yes,NBN map,NT,-,-,-,Yes,Yes,-,-,-,NHMSYS0001717991,
Aquatic invertebrates,insect - beetle (Coleoptera),Elodes minuta,a water beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000024171,
Aquatic invertebrates,insect - beetle (Coleoptera),Elodes pseudominuta,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718058,
Aquatic invertebrates,insect - beetle (Coleoptera),Enochrus quadripunctatus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718084,
Aquatic invertebrates,insect - beetle (Coleoptera),Enochrus testaceus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718086,
Aquatic invertebrates,insect - beetle (Coleoptera),Gyrinus distinctus,a water beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NHMSYS0001718268,
